,title,price,registration,km,displacement,hp,fuel,transmission,category,location,link,brand,town,model
3980,  Opel Corsa '17 1.3 DTE ECOFLEX 5/D ΕΛΛΗΝΙΚΟ,9990,12/2017,116523,1248,90,Diesel,Manual,Other, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330587659-opel-corsa?lang=en,Opel,PERISTERI,Corsa
3981,  Peugeot 108 '16  Top! 1.0 VTi 68 Active,9990,04/2016,119000,998000,68,Petrol,Manual,Other, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330592953-peugeot-108?lang=en,Peugeot,PERISTERI,108
3982,  Fiat 500 '14 Lounge 1.2*70PS*EURO6*ΟΡΟΦΗ,8990,08/2014,71347,1200,70,Petrol,Manual,Compact/Hatchback, ATHINA 10442,https://www.car.gr/classifieds/cars/view/331368103-fiat-500?lang=en,Fiat,ATHINA,500
3983,  Bmw X1 '18 sDrive 18d X Line ΠΑΝΟΡΑΜΑ ΑΥΤΟΜΑΤΟ,29900,10/2018,153300,1995,150,Diesel,Automatic,4x4/Jeep/Suv, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/331342646-bmw-x1?lang=en,Bmw,PERISTERI,X1
3984,  Mazda 6 '03,3750,02/2003,195000,1600,125,Petrol,Manual,Limousine/Sedan, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/330984149-mazda-6?lang=en,Mazda,PERISTERI,3
3985,  Peugeot 206 '02,2950,07/2002,245000,1400,90,Petrol,Manual,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/330983130-peugeot-206?lang=en,Peugeot,PERISTERI,206
3986,  Peugeot 208 '19  1.6 BlueHDi 100 Allure Panorama ΕΛΛΗΝΙΚΟ EURO6,13500,01/2019,75000,1600,100,Diesel,Manual,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/330980834-peugeot-208?lang=en,Ram,PERISTERI,Unknown
3987,  Peugeot 3008 '18 EΛΛΗΝΙΚΟ ΑYTOMATO GT LINE GRIP EAT6 S&S 120HP F1 ,31000,01/2018,68800,1560,120,Diesel,Automatic,4x4/Jeep/Suv, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/325878439-peugeot-3008?lang=en,Peugeot,PERISTERI,3008
3988,  Renault Megane '16 1.5 dCi Energy Intens AUTO-ΔΕΡΜΑ-PURE LED,17500,05/2016,92645,1461,110,Diesel,Automatic,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/324170597-renault-megane?lang=en,Renault,PERISTERI,Megane
3989,  Citroen C3 '05 1ο χερι απο ΙΔΙΩΤΗ,3950,01/2005,101500,1400,80,Petrol,Manual,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/331319994-citroen-c3?lang=en,Citroen,PERISTERI,C3
3990,  Volkswagen Passat '04 PASSAT ΙΔΙΩΤΗΣ,3200,02/2004,192000,1595,101,Petrol,Manual,Limousine/Sedan, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/329935057-volkswagen-passat?lang=en,Volkswagen,PERISTERI,Passat
3991,  Renault Twingo '15 0.9 Energy Intens,10700,02/2015,86872,1000,90,Petrol,Manual,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/328747068-renault-twingo?lang=en,Renault,PERISTERI,Twingo
3992,  Kia Picanto '15  1.2 Dream-Team Edition 2015,9500,04/2015,117000,1200,85,Petrol,Manual,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/326591473-kia-picanto?lang=en,Kia,PERISTERI,Picanto
3993,  Nissan Primera '06 ΙΔΙΩΤΗΣ CLIMA ABS,4950,01/2006,164000,1600,110,Petrol,Manual,Limousine/Sedan, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/330062160-nissan-primera?lang=en,Nissan,PERISTERI,Primera
3994,  Citroen C4 '14 EΛΛΗΝΙΚΟ ΑYTOMATO 110HP ΑΠΟ ΙΔΙΩΤΗ,10500,05/2014,130000,1600,115,Diesel,Automatic,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/325898587-citroen-c4?lang=en,Citroen,PERISTERI,C4
3995,  Mini Countryman '19,28500,09/2019,33000,1500,116,Diesel,Manual,4x4/Jeep/Suv, TRIKALA 42100,https://www.car.gr/classifieds/cars/view/327180594-mini-countryman?lang=en,Mini,TRIKALA,Countryman
3996,  Citroen C3 '05,3400,01/2005,166530,1398,88,Petrol,Manual,Compact/Hatchback, KALAMARIA 55133,https://www.car.gr/classifieds/cars/view/331377580-citroen-c3?lang=en,Citroen,KALAMARIA,C3
3997,  Ford C-Max '08 1.6 TDCI FACELIFT ,3750,01/2008,195000,1600,115,Diesel,Manual,Combi/Caravan, ALEKSANDREIA 59300,https://www.car.gr/classifieds/cars/view/331342248-ford-c-max?lang=en,Ford,ALEKSANDREIA,C-Max
3998,  Kia Picanto '14 Kia Picanto '14 1.0 Morning ,9600,07/2014,102000,998000,69,Petrol,Manual,Compact/Hatchback, ARTA 47100,https://www.car.gr/classifieds/cars/view/326285841-kia-picanto?lang=en,Kia,ARTA,Picanto
3999,  Opel Meriva '11  1.3 CDTI ecoFlex  Edition,8300,07/2011,220000,1248,95,Diesel,Manual,Compact/Hatchback, ARTA 47100,https://www.car.gr/classifieds/cars/view/330814983-opel-meriva?lang=en,Opel,ARTA,Meriva
4000,  Renault Laguna '08 DYNAMIC 2.0  16V,9400,08/2008,70000,2000,140,Petrol,Manual,Limousine/Sedan, ATHINA 11527,https://www.car.gr/classifieds/cars/view/659326-renault-laguna?lang=en,Renault,ATHINA,Laguna
4001,  Renault Megane '20 1.3 TCe 140hp DYNAMIC Ελληνικής αντιπροσωπείας ,22000,02/2020,19000,1332,140,Petrol,Manual,Compact/Hatchback, ATHINA 11527,https://www.car.gr/classifieds/cars/view/330677274-renault-megane?lang=en,Renault,ATHINA,Megane
4002,  Dacia Sandero '15 STEPWAY 1.5 dci 90hp  Ελληνικής αντιπροσωπείας,11150,01/2015,71000,1500,90,Diesel,Manual,Compact/Hatchback, ATHINA 11527,https://www.car.gr/classifieds/cars/view/329539091-dacia-sandero?lang=en,Dacia,ATHINA,Unknown
4003,  Audi A3 '08 S3 Louk,11900,01/2008,210000,1800,230,Petrol,Automatic,Compact/Hatchback, KERATSINI 18758,https://www.car.gr/classifieds/cars/view/329905234-audi-a3?lang=en,Audi,KERATSINI,A3
4004,  Bmw 116 '18  Sport Line Steptronic,17999,05/2018,180000,1500,116,Diesel,Automatic,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/324645660-bmw-116?lang=en,Bmw,THERMI,116
4005,  Mini ONE '15 1.5CC DIESEL ***EΛΛΗΝΙΚΟ***,14500,11/2015,144000,1500,95,Diesel,Manual,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/331342472-mini-one?lang=en,Mini,THERMI,One
4006,  Suzuki Jimny '06 Οριστική διαγραφή ,1500,01/2006,1000,1300,90,Petrol,Manual,4x4/Jeep/Suv, DRAMA 66100,https://www.car.gr/classifieds/cars/view/27519228-suzuki-jimny-wanted?lang=en,Suzuki,DRAMA,Jimny
4007,  Peugeot 207 '07,4000,04/2007,77000,1598,120,Petrol,Manual,Convertible/Roadster, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/327425107-peugeot-207?lang=en,Peugeot,IRAKLEIO,207
4008,  Alfa Romeo Brera '07  3.2 JTS V6 24V Skyview,13000,04/2007,100000,3200,260,Petrol,Manual,Coupe-Sport, THERMI 57001,https://www.car.gr/classifieds/cars/view/326274423-alfa-romeo-brera?lang=en,Alfa romeo,THERMI,Brera
4009,  Suzuki Swift '06 1.3CC FULL EXTRA*EΛΛΗΝΙΚΟ*,5999,03/2006,102000,1328,90,Petrol,Manual,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/331030950-suzuki-swift?lang=en,Suzuki,THERMI,Swift
4010,  Honda Jazz '06,5900,06/2006,190000,1339,83,Petrol,Automatic,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/331057339-honda-jazz?lang=en,Honda,THERMI,Unknown
4011,  Fiat Grande Punto '11 EVO 1.3 75HP DIESEL,6750,09/2011,169000,1300,75,Diesel,Manual,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/329539901-fiat-grande-punto?lang=en,Fiat,THERMI,Punto
4012,  Alfa Romeo Giulietta '12  1.4 TB 16V MultiAir Turismo TCT,16500,07/2012,125500,1400,170,Petrol,Automatic,Compact/Hatchback, ATHINA 11253,https://www.car.gr/classifieds/cars/view/327533630-alfa-romeo-giulietta?lang=en,Alfa romeo,ATHINA,Unknown
4013,  Suzuki Swift '06 Οριστική διαγραφή ,1500,01/2006,1000,1300,90,Petrol,Manual,Compact/Hatchback, DRAMA 66100,https://www.car.gr/classifieds/cars/view/27644336-suzuki-swift-wanted?lang=en,Suzuki,DRAMA,Swift
4014,  Suzuki Grand Vitara '03 Οριστική διαγραφή ,1500,01/2003,130000,1600,90,Petrol,Manual,4x4/Jeep/Suv, DRAMA 66100,https://www.car.gr/classifieds/cars/view/27806246-suzuki-grand-vitara-wanted?lang=en,Suzuki,DRAMA,Grand Vitara
4015,  Fiat Panda '18,10000,05/2018,70200,1242,80,Petrol,Manual,Compact/Hatchback, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/328838030-fiat-panda?lang=en,Fiat,IRAKLEIO,Panda
4016,  Mercedes-Benz E 200 '89 Sportline πληρωμένα τέλη ‘23,6000,09/1989,250000,1998,136,Petrol,Automatic,Limousine/Sedan, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/327665057-mercedes-benz-e-200?lang=en,Mercedes-benz,IRAKLEIO,E 200
