,title,price,registration,km,displacement,hp,fuel,transmission,category,location,link,brand,town,model,zip_codes
4079,  Opel Combo '19,13000,01/2019,170000,1600,120,Diesel,Manual,Van/Mini Bus, ATHINA 10443,https://www.car.gr/classifieds/cars/view/330458871-opel-combo?lang=en,Opel,ATHINA,Combo,10443
4080,  Mercedes-Benz E 200 '93 ELEGANCE,3000,05/1993,198000,1998,136,Petrol,Automatic,Limousine/Sedan, GALAKSIDI 33052,https://www.car.gr/classifieds/cars/view/12185756-mercedes-benz-e-200?lang=en,Mercedes-benz,GALAKSIDI,E 200,33052
4081,  Citroen C3 '16  PureTech VTi 82 Exclusive,8999,10/2016,128000,1198,82,Petrol,Manual,Compact/Hatchback, IGOYMENITSA 46100,https://www.car.gr/classifieds/cars/view/328795012-citroen-c3?lang=en,Citroen,IGOYMENITSA,C3,46100
4082,  Opel Insignia '11  2.0 Turbo Edition ΠΡΟΣΦΟΡΑ!!!!,7600,08/2011,329800,1998,220,Diesel,Manual,Combi/Caravan, IWANNINA 45500,https://www.car.gr/classifieds/cars/view/313910024-opel-insignia?lang=en,Opel,IWANNINA,Insignia,45500
4083,  Dacia Sandero '14 stepway,8999,03/2014,125000,898000,90,Petrol,Manual,4x4/Jeep/Suv, KERATSINI 18758,https://www.car.gr/classifieds/cars/view/329542280-dacia-sandero?lang=en,Dacia,KERATSINI,Unknown,18758
4084,  Suzuki Vitara '99 vitara4x4,4200,09/1999,374000,1600,100,Petrol,Manual,4x4/Jeep/Suv, LAMIA 35100,https://www.car.gr/classifieds/cars/view/317557062-suzuki-vitara?lang=en,Suzuki,LAMIA,Vitara,35100
4085,  Ford Fiesta '10,7000,06/2010,197327,1399,68,Diesel,Manual,Compact/Hatchback, NAFPLIO 21100,https://www.car.gr/classifieds/cars/view/328503906-ford-fiesta?lang=en,Ford,NAFPLIO,Fiesta,21100
4086,  Toyota C-HR '17 1200cc Turbo T Style,20950,06/2017,96000,1200,116,Petrol,Manual,4x4/Jeep/Suv, PERISTERI 12136,https://www.car.gr/classifieds/cars/view/323983832-toyota-c-hr?lang=en,Toyota,PERISTERI,C-HR,12136
4087,  Volkswagen T2 '71 ΑΑ,8800,05/1971,100000,1584,50,Petrol,Manual,Van/Mini Bus, PALLINI 15351,https://www.car.gr/classifieds/cars/view/328839197-volkswagen-t2?lang=en,Volkswagen,PALLINI,Unknown,15351
4088,  Mini Cooper '17 F 55,18500,09/2017,100000,1499,136,Petrol,Manual,Compact/Hatchback, KAISARIANI 16121,https://www.car.gr/classifieds/cars/view/327658834-mini-cooper?lang=en,Mini,KAISARIANI,Cooper,16121
